name,title,book(s),house,dateOfBirth,dateOfDeath,,culture,alias,reign,full name,other titles,born in,died in,royal house,predecessor,heir,successor,queen,issue,books,father,mother,coronation,spouse,personal arms,race,wife,actor,tv series,buried in,location,government,founded,religion,notable places,organizations,named for,current commander,size,banner,motto/war cry,founder,coat of arms,seat,current lord,region,overlord,words,cadet branch,ancestral weapon,population,conflict,date,place,result,author,country,language,series,genre(s),publisher,released,media type,pages,followed&#160;by,cover artist,isbn,purchase,disbanded
Hunnimore,Maester,The Princess and the Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humfrey Swyft,Ser,A Feast for Crows,House Swyft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humfrey Wagstaff,Ser,A Feast for Crows,House Wagstaff,230 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husband,,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,Sharna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illifer,Ser,A Feast for Crows,,240 AC,,,, Illifer the Penniless,,,,,,,,,,,,,,,,, Gold and ermine gyronny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igon Vyrwel,,A Game of Thrones,House Vyrwel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyle Hunt,Ser,A Feast for Crows,House Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iggo,,A Storm of Swords,Brave Companions,,299 AC,,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilyn Payne,Ser,A Game of Thrones,House Payne,,,Season 1,Westeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illyrio Mopatis,Magister,A Game of Thrones,House Targaryen,Pentos,,Season 1,Pentoshi, The Cheesemonger<br>The Fat Man<br>The Lord of Cheese,,,,,,,,,,,,,,,,Cousin to the Prince of Pentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humfrey Hewett,Oakenshield,A Feast for Crows,House Hewett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ironbelly,,A Clash of Kings,,,,,, Ironbelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacelyn Bywater,Ser,A Clash of Kings,House Bywater,,299 AC,,, Ironhand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irri,,A Game of Thrones,House Targaryen,283 AC,,Season 1,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack-Be-Lucky,,A Storm of Swords,Brotherhood without banners,,,,, Jack-Be-Lucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacks,,A Game of Thrones,House Stark,,,,northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jafer Flowers,,A Game of Thrones,Night's Watch,,298 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaehaerys II Targaryen,,,,,,,,,259 AC, Jaehaerys Targaryen the Second of His Name,Andals,225 AC,262 AC,House Targaryen,Aegon V Targaryen,Aerys II Targaryen,Aerys II Targaryen,Shaera Targaryen,Aerys II Targaryen,The World of Ice and Fire,Aegon V Targaryen,Betha Blackwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imry Florent,Ser,A Clash of Kings,House Florent,,299 AC,Season 2,, The Fool of Florent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaehaera Targaryen, Princess<br>Queen,The Rogue Prince,House Targaryen,123 AC,133 AC,,Valyrian,,,,,,,,,,,,,,,,,Aegon III Targaryen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaggot,,A Game of Thrones,Stone Crows,,,,Vale mountain clans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalabhar Xho,Red Flower Vale,A Game of Thrones,Summer Islands,,,,Summer Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jammos Frey,Ser,A Clash of Kings,House Frey,266 AC,,,,,,,,,,,,,,,,,,,,Sallei Paege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaime Lannister,Ser,A Game of Thrones,House Lannister,266 AC,,Season 1,Westerlands, The Kingslayer<br>The Lion of Lannister<br>The Young Lion<br>Cripple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janei Lannister,,A Game of Thrones,House Lannister,296 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaqen H'ghar,,A Clash of Kings,Faceless Men,,,Season 2,, Lorath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaehaerys Targaryen (son of Aegon II), Prince,The Rogue Prince,House Targaryen,123 AC,129 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janos Slynt,Lord of Harrenhal,A Game of Thrones,Night's Watch,278 AC,300 AC,Season 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Frey,Ser,A Game of Thrones,House Frey,248 AC,300 AC,,,,,,,,,,,,,,,,,,,Alys Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaime Frey,,A Feast for Crows,House Frey,299 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaremy Rykker,First Ranger,A Game of Thrones,Night's Watch,,298 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarl,,A Storm of Swords,,,299 AC,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Lannister,Ser,The World of Ice and Fire,House Lannister,,130 AC,,,,,,,,,,,,,,,,,,,Johanna Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper Redfort,Ser,A Feast for Crows,House Redfort,,,,Valemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Mallister,Seagard,A Game of Thrones,House Mallister,Seagard,,,Riverlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janna Tyrell,,A Game of Thrones,House Tyrell,,,,,,,,,,,,,,,,,,,,,Jon Fossoway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper Waynwood,,A Feast for Crows,House Waynwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jate,,A Feast for Crows,,,300 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper Wylde,Rain House,The Princess and the Queen,House Wylde,,130 AC,,, Ironrod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jate Blackberry,,A Storm of Swords,House Blackberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayne Bracken,,A Dance with Dragons,House Bracken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffory Mallister,,A Clash of Kings,House Mallister,,King's Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayde,,A Storm of Swords,Chataya's brothel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeffory Norcross,Ser,A Feast for Crows,House Norcross,,,,, Neveryield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeren,,A Game of Thrones,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasper Arryn,Eyrie,A Feast for Crows,House Arryn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Arryn,Eyrie,The World of Ice and Fire,House Arryn,,134  AC,,Vale, The Maiden of the Vale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeor Mormont,Bear Island,A Game of Thrones,House Mormont,230 AC,299 AC,Season 1,Northmen, The Old Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Fossoway,,A Feast for Crows,House Fossoway of New Barrel,,,,,,,,,,,,,,,,,,,,,Gunthor Hightower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Beesbury,,A Clash of Kings,House Beesbury,,,,,,,,,,,,,,,,,,,,,Rhaegar Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Goodbrook,,A Clash of Kings,House Goodbrook,293 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Darry,,A Storm of Swords,House Darry,,,,Westeros,,,,,,,,,,,,,,,,,Cleos Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Heddle,,A Feast for Crows,Brotherhood Without Banners,281 AC,,,, Long Jeyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Lothston,,The World of Ice and Fire,House Lothston,164 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Lydden,,A Clash of Kings,House Lydden,,,,,,,,,,,,,,,,,,,,,Stevron Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Rivers,,A Clash of Kings,House Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Swann,,A Storm of Swords,House Swann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Poole,,A Game of Thrones,House Poole,Winterfell,,,Northmen, Arya Stark,,,,,,,,,,,,,,,,Ramsay Bolton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhaqo, <i>Khal</i><br><i>Ko</i> (formerly),A Game of Thrones,,,,,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Westerling (wife of Maegor I), Queen<br>Black Bride,The World of Ice and Fire,House Westerling,27 AC,47 AC,,,,,,,,,,,,,,,,,,,Alyn Tarbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Westerling,Winterfell,A Storm of Swords,House Westerling,283 AC,,,Westermen,,,,,,,,,,,,,,,,,Robb Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhogo,Bloodrider,A Game of Thrones,House Targaryen,281 AC,,,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhiqui,,A Game of Thrones,House Targaryen,284 AC,,Season 1,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanna Swyft,,A Storm of Swords,House Swyft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jocelyn Swyft,,A Feast for Crows,House Swyft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanna Lannister,Casterly Rock,A Game of Thrones,House Lannister,245 AC,273 AC,,Westerman,,,,,,,,,,,,,,,,,Tywin Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jodge,,A Clash of Kings,House Lannister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johanna Swann,,The Rogue Prince,House Swann,,,,, The Black Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeyne Waters,,The World of Ice and Fire,,171 AC,,,Westeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joffrey Caswell,Bitterbridge,The Mystery Knight,House Caswell,190 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joffrey Lonmouth,Ser,The Rogue Prince,House Lonmouth,99 AC,114 AC,,, Knight of Kisses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jommo, Khal,A Game of Thrones,,,,,Dothraki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jommy,,A Clash of Kings,House Baratheon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jojen Reed,,A Clash of Kings,House Reed,286 AC,,Season 3,Crannogmen, Little Grandfather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Bettley,Ser,A Feast for Crows,House Bettley,,,,, Beardless Jon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Brax,,A Clash of Kings,House Brax,296 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Bulwer,Blackcrown,A Storm of Swords,House Bulwer,,,,,,,,,,,,,,,,,,,,,Victaria Tyrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Arryn,Eyrie,The World of Ice and Fire,House Arryn,217 AC,298 AC,Season 1,Valemen,,,,,,,,,,,,,,,,,Jeyne Royce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Cupps,Ser,A Feast for Crows,House Cupps,,,,,,,,,,,,,,,,,,,,,Leyla Hightower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Fossoway,Knight,A Clash of Kings,House Fossoway of New Barrel,,,,Reach,,,,,,,,,,,,,,,,,Janna Tyrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Heddle,Ser,A Feast for Crows,House Heddle,,,,, Long Jon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Connington,Lord of Griffin's Roost,The World of Ice and Fire,House Connington,263 AC,,,Stormlands, Griff<br>the Mad King's Hand<br>The dancing griffins Hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Lynderly, Lord of the Snakewood,A Feast for Crows,House Lynderly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Hollard,Ser,A Feast for Crows,House Hollard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Myre,,A Storm of Swords,House Myre,,,,Ironborn, Pinchface Jon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Penrose,Ser,The Hedge Knight,House Penrose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joffrey Baratheon,,,,,,,, Joffrey the Illborn<br>The Young Usurper<br>Aerys the Third<br>Joffrey-called-Baratheon,298 AC, Joffrey Baratheon the First of His Name,Andals,286 AC,300 AC,House Baratheon of King's Landing,Robert I Baratheon,Tommen Baratheon,Tommen I Baratheon,Margaery Tyrell,,A Game of Thrones,Robert Baratheon,Cersei Lannister,,,,,,Jack Gleeson,Season 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Penny,,A Feast for Crows,House Penny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Pox,,A Feast for Crows,,,Stepstones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Redfort,Ser,A Feast for Crows,House Redfort,,,,Valemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Umber (Greatjon),Last Hearth,A Game of Thrones,House Umber,Last Hearth,,Season 1,Northmen, The Greatjon<br>Greatjon Umber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Umber (Smalljon),,A Game of Thrones,House Umber,,299 AC,,Northmen, The Smalljon<br>Smalljon Umber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Vance, Maester,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Snow,Lord Commander of the Night's Watch,A Game of Thrones,House Stark,283 AC,,Season 1,Northmen, Lord Snow<br>Ned Stark's Bastard<br>The Snow of Winterfell<br>The Crow-Come-Over<br>The 998th Lord Commander of the Night's Watch<br>The Bastard of Winterfell<br>The Black Bastard of the Wall<br>Lord Crow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Waters,Ser,A Feast for Crows,,171 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Wylde,Ser,A Clash of Kings,House Wylde,,,,,,,,,,,,,,,,,,,,,Elyana Vypren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonos Frey,,A Clash of Kings,House Frey,291 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonos Stark,King in the North,A Clash of Kings,House Stark,,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonothor Darry,Ser,A Storm of Swords,House Darry,,283 AC,,, Jon Darry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorah Stark,King in the North,A Clash of Kings,House Stark,,,,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joramun,King-Beyond-the-Wall,The World of Ice and Fire,,,,,Free Folk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorah Mormont,Ser,A Game of Thrones,House Mormont,254 AC,,Season 1,Northmen, Jorah the Andal<br>Bear,,,,,,,,,,,,,,,,Glover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorgen,,The Sworn Sword,House Webber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorelle Mormont,,A Feast for Crows,House Mormont,278 AC,,,Northmen, Jory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorquen, Septon,A Feast for Crows,Night's Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseran, Maester,A Feast for Crows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jory Cassel,Captain of the guard,A Game of Thrones,House Cassel,Winterfell,298 AC,Season 1,Northmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonos Bracken,Stone Hedge,A Game of Thrones,House Bracken,Stone Hedge,,Season 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseth,,A Game of Thrones,House Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseth Mallister,Ser,The Hedge Knight,House Mallister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josmyn Peckledon,,A Clash of Kings,House Peckledon,284 AC,,,, Peck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joss,,A Game of Thrones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joss Stilwood,,A Game of Thrones,House Clegane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joss the Gloom,,A Feast for Crows,,,,,Braavosi, Joss the Gloom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josua Willum,,A Clash of Kings,House Willum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joth Quickbow,,A Storm of Swords,,,riverlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jothos Slynt,,A Storm of Swords,House Slynt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnel Stark,Winterfell,The World of Ice and Fire,House Stark,,,,, One-Eye,,,,,,,,,,,,,,,,Robyn Ryswell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy Hill,,A Game of Thrones,House Lannister,288 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joyeuse Erenford,the Crossing,A Game of Thrones,House Erenford,282 AC,,Season 1,,,,,,,,,,,,,,,,,,Walder Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Massey,Ser,A Feast for Crows,House Massey,,,,, The Smiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jyana,,A Feast for Crows,House Reed,,,,Crannogmen,,,,,,,,,,,,,,,,,Howland Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurne, Maester,A Clash of Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jyck,,A Game of Thrones,House Lannister,,298 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jyanna Frey,,A Clash of Kings,House Frey,,,,,,,,,,,,,,,,,,,,,Benfrey Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jyzene,,A Storm of Swords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jynessa Blackmont,,A Storm of Swords,House Blackmont,,,,Dornish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaeth,Grand Maester,A Storm of Swords,,175 AC,257 AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
